Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Feb-1993,1993,2,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Jan-1993,1993,1,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Dec-1992,1992,12,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Nov-1992,1992,11,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Oct-1992,1992,10,Average Weight in Pounds,Sheep and Lambs,124,Commercial,Live,Red Meat
Sep-1992,1992,9,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Aug-1992,1992,8,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Jul-1992,1992,7,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Jun-1992,1992,6,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
May-1992,1992,5,Average Weight in Pounds,Sheep and Lambs,127,Commercial,Live,Red Meat
Apr-1992,1992,4,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
Mar-1992,1992,3,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Feb-1992,1992,2,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Jan-1992,1992,1,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Dec-1991,1991,12,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Nov-1991,1991,11,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
Oct-1991,1991,10,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Sep-1991,1991,9,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Aug-1991,1991,8,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Jul-1991,1991,7,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Jun-1991,1991,6,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
May-1991,1991,5,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Apr-1991,1991,4,Average Weight in Pounds,Sheep and Lambs,127,Commercial,Live,Red Meat
Mar-1991,1991,3,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Feb-1991,1991,2,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Jan-1991,1991,1,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Dec-1990,1990,12,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Nov-1990,1990,11,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Oct-1990,1990,10,Average Weight in Pounds,Sheep and Lambs,124,Commercial,Live,Red Meat
Sep-1990,1990,9,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Aug-1990,1990,8,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Jul-1990,1990,7,Average Weight in Pounds,Sheep and Lambs,121,Commercial,Live,Red Meat
Jun-1990,1990,6,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
May-1990,1990,5,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Apr-1990,1990,4,Average Weight in Pounds,Sheep and Lambs,124,Commercial,Live,Red Meat
Mar-1990,1990,3,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Feb-1990,1990,2,Average Weight in Pounds,Sheep and Lambs,131,Commercial,Live,Red Meat
Jan-1990,1990,1,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Dec-1989,1989,12,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Nov-1989,1989,11,Average Weight in Pounds,Sheep and Lambs,127,Commercial,Live,Red Meat
Oct-1989,1989,10,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
Sep-1989,1989,9,Average Weight in Pounds,Sheep and Lambs,120,Commercial,Live,Red Meat
Aug-1989,1989,8,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Jul-1989,1989,7,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Jun-1989,1989,6,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
May-1989,1989,5,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Apr-1989,1989,4,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Mar-1989,1989,3,Average Weight in Pounds,Sheep and Lambs,129,Commercial,Live,Red Meat
Feb-1989,1989,2,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Jan-1989,1989,1,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Dec-1988,1988,12,Average Weight in Pounds,Sheep and Lambs,125,Commercial,Live,Red Meat
Nov-1988,1988,11,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
Oct-1988,1988,10,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Sep-1988,1988,9,Average Weight in Pounds,Sheep and Lambs,121,Commercial,Live,Red Meat
Aug-1988,1988,8,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Jul-1988,1988,7,Average Weight in Pounds,Sheep and Lambs,121,Commercial,Live,Red Meat
Jun-1988,1988,6,Average Weight in Pounds,Sheep and Lambs,124,Commercial,Live,Red Meat
May-1988,1988,5,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Apr-1988,1988,4,Average Weight in Pounds,Sheep and Lambs,126,Commercial,Live,Red Meat
Mar-1988,1988,3,Average Weight in Pounds,Sheep and Lambs,128,Commercial,Live,Red Meat
Feb-1988,1988,2,Average Weight in Pounds,Sheep and Lambs,124,Commercial,Live,Red Meat
Jan-1988,1988,1,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Dec-1987,1987,12,Average Weight in Pounds,Sheep and Lambs,123,Commercial,Live,Red Meat
Nov-1987,1987,11,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Oct-1987,1987,10,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Sep-1987,1987,9,Average Weight in Pounds,Sheep and Lambs,120,Commercial,Live,Red Meat
Aug-1987,1987,8,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Jul-1987,1987,7,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Jun-1987,1987,6,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
May-1987,1987,5,Average Weight in Pounds,Sheep and Lambs,117,Commercial,Live,Red Meat
Apr-1987,1987,4,Average Weight in Pounds,Sheep and Lambs,116,Commercial,Live,Red Meat
Mar-1987,1987,3,Average Weight in Pounds,Sheep and Lambs,122,Commercial,Live,Red Meat
Feb-1987,1987,2,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Jan-1987,1987,1,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Dec-1986,1986,12,Average Weight in Pounds,Sheep and Lambs,121,Commercial,Live,Red Meat
Nov-1986,1986,11,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Oct-1986,1986,10,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Sep-1986,1986,9,Average Weight in Pounds,Sheep and Lambs,116,Commercial,Live,Red Meat
Aug-1986,1986,8,Average Weight in Pounds,Sheep and Lambs,114,Commercial,Live,Red Meat
Jul-1986,1986,7,Average Weight in Pounds,Sheep and Lambs,114,Commercial,Live,Red Meat
Jun-1986,1986,6,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
May-1986,1986,5,Average Weight in Pounds,Sheep and Lambs,116,Commercial,Live,Red Meat
Apr-1986,1986,4,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Mar-1986,1986,3,Average Weight in Pounds,Sheep and Lambs,117,Commercial,Live,Red Meat
Feb-1986,1986,2,Average Weight in Pounds,Sheep and Lambs,119,Commercial,Live,Red Meat
Jan-1986,1986,1,Average Weight in Pounds,Sheep and Lambs,118,Commercial,Live,Red Meat
Dec-1985,1985,12,Average Weight in Pounds,Sheep and Lambs,117,Commercial,Live,Red Meat
Nov-1985,1985,11,Average Weight in Pounds,Sheep and Lambs,117,Commercial,Live,Red Meat
Oct-1985,1985,10,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Sep-1985,1985,9,Average Weight in Pounds,Sheep and Lambs,112,Commercial,Live,Red Meat
Aug-1985,1985,8,Average Weight in Pounds,Sheep and Lambs,111,Commercial,Live,Red Meat
Jul-1985,1985,7,Average Weight in Pounds,Sheep and Lambs,112,Commercial,Live,Red Meat
Jun-1985,1985,6,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
May-1985,1985,5,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Apr-1985,1985,4,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Mar-1985,1985,3,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Feb-1985,1985,2,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Jan-1985,1985,1,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Dec-1984,1984,12,Average Weight in Pounds,Sheep and Lambs,114,Commercial,Live,Red Meat
Nov-1984,1984,11,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Oct-1984,1984,10,Average Weight in Pounds,Sheep and Lambs,110,Commercial,Live,Red Meat
Sep-1984,1984,9,Average Weight in Pounds,Sheep and Lambs,107,Commercial,Live,Red Meat
Aug-1984,1984,8,Average Weight in Pounds,Sheep and Lambs,108,Commercial,Live,Red Meat
Jul-1984,1984,7,Average Weight in Pounds,Sheep and Lambs,107,Commercial,Live,Red Meat
Jun-1984,1984,6,Average Weight in Pounds,Sheep and Lambs,107,Commercial,Live,Red Meat
May-1984,1984,5,Average Weight in Pounds,Sheep and Lambs,110,Commercial,Live,Red Meat
Apr-1984,1984,4,Average Weight in Pounds,Sheep and Lambs,112,Commercial,Live,Red Meat
Mar-1984,1984,3,Average Weight in Pounds,Sheep and Lambs,116,Commercial,Live,Red Meat
Feb-1984,1984,2,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Jan-1984,1984,1,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Dec-1983,1983,12,Average Weight in Pounds,Sheep and Lambs,111,Commercial,Live,Red Meat
Nov-1983,1983,11,Average Weight in Pounds,Sheep and Lambs,111,Commercial,Live,Red Meat
Oct-1983,1983,10,Average Weight in Pounds,Sheep and Lambs,109,Commercial,Live,Red Meat
Sep-1983,1983,9,Average Weight in Pounds,Sheep and Lambs,109,Commercial,Live,Red Meat
Aug-1983,1983,8,Average Weight in Pounds,Sheep and Lambs,110,Commercial,Live,Red Meat
Jul-1983,1983,7,Average Weight in Pounds,Sheep and Lambs,110,Commercial,Live,Red Meat
Jun-1983,1983,6,Average Weight in Pounds,Sheep and Lambs,112,Commercial,Live,Red Meat
May-1983,1983,5,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Apr-1983,1983,4,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Mar-1983,1983,3,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Feb-1983,1983,2,Average Weight in Pounds,Sheep and Lambs,115,Commercial,Live,Red Meat
Jan-1983,1983,1,Average Weight in Pounds,Sheep and Lambs,113,Commercial,Live,Red Meat
Dec-2023,2023,12,Average Weight in Pounds,Cattle,"1,404.00",Federally Inspected,Live,Red Meat
Nov-2023,2023,11,Average Weight in Pounds,Cattle,"1,390.00",Federally Inspected,Live,Red Meat
Oct-2023,2023,10,Average Weight in Pounds,Cattle,"1,378.00",Federally Inspected,Live,Red Meat
Sep-2023,2023,9,Average Weight in Pounds,Cattle,"1,365.00",Federally Inspected,Live,Red Meat
Aug-2023,2023,8,Average Weight in Pounds,Cattle,"1,353.00",Federally Inspected,Live,Red Meat
Jul-2023,2023,7,Average Weight in Pounds,Cattle,"1,346.00",Federally Inspected,Live,Red Meat
Jun-2023,2023,6,Average Weight in Pounds,Cattle,"1,341.00",Federally Inspected,Live,Red Meat
May-2023,2023,5,Average Weight in Pounds,Cattle,"1,352.00",Federally Inspected,Live,Red Meat
Apr-2023,2023,4,Average Weight in Pounds,Cattle,"1,357.00",Federally Inspected,Live,Red Meat
Mar-2023,2023,3,Average Weight in Pounds,Cattle,"1,369.00",Federally Inspected,Live,Red Meat
Feb-2023,2023,2,Average Weight in Pounds,Cattle,"1,377.00",Federally Inspected,Live,Red Meat
Jan-2023,2023,1,Average Weight in Pounds,Cattle,"1,383.00",Federally Inspected,Live,Red Meat
Dec-2022,2022,12,Average Weight in Pounds,Cattle,"1,388.00",Federally Inspected,Live,Red Meat
Nov-2022,2022,11,Average Weight in Pounds,Cattle,"1,387.00",Federally Inspected,Live,Red Meat
Oct-2022,2022,10,Average Weight in Pounds,Cattle,"1,379.00",Federally Inspected,Live,Red Meat
Sep-2022,2022,9,Average Weight in Pounds,Cattle,"1,368.00",Federally Inspected,Live,Red Meat
Aug-2022,2022,8,Average Weight in Pounds,Cattle,"1,351.00",Federally Inspected,Live,Red Meat
Jul-2022,2022,7,Average Weight in Pounds,Cattle,"1,343.00",Federally Inspected,Live,Red Meat
Jun-2022,2022,6,Average Weight in Pounds,Cattle,"1,342.00",Federally Inspected,Live,Red Meat
May-2022,2022,5,Average Weight in Pounds,Cattle,"1,353.00",Federally Inspected,Live,Red Meat
Apr-2022,2022,4,Average Weight in Pounds,Cattle,"1,376.00",Federally Inspected,Live,Red Meat
Mar-2022,2022,3,Average Weight in Pounds,Cattle,"1,388.00",Federally Inspected,Live,Red Meat
Feb-2022,2022,2,Average Weight in Pounds,Cattle,"1,398.00",Federally Inspected,Live,Red Meat
Jan-2022,2022,1,Average Weight in Pounds,Cattle,"1,401.00",Federally Inspected,Live,Red Meat
Dec-2021,2021,12,Average Weight in Pounds,Cattle,"1,395.00",Federally Inspected,Live,Red Meat
Nov-2021,2021,11,Average Weight in Pounds,Cattle,"1,386.00",Federally Inspected,Live,Red Meat
Oct-2021,2021,10,Average Weight in Pounds,Cattle,"1,379.00",Federally Inspected,Live,Red Meat
Sep-2021,2021,9,Average Weight in Pounds,Cattle,"1,368.00",Federally Inspected,Live,Red Meat
Aug-2021,2021,8,Average Weight in Pounds,Cattle,"1,356.00",Federally Inspected,Live,Red Meat
Jul-2021,2021,7,Average Weight in Pounds,Cattle,"1,351.00",Federally Inspected,Live,Red Meat
Jun-2021,2021,6,Average Weight in Pounds,Cattle,"1,349.00",Federally Inspected,Live,Red Meat
May-2021,2021,5,Average Weight in Pounds,Cattle,"1,363.00",Federally Inspected,Live,Red Meat
Apr-2021,2021,4,Average Weight in Pounds,Cattle,"1,369.00",Federally Inspected,Live,Red Meat
Mar-2021,2021,3,Average Weight in Pounds,Cattle,"1,376.00",Federally Inspected,Live,Red Meat
Feb-2021,2021,2,Average Weight in Pounds,Cattle,"1,394.00",Federally Inspected,Live,Red Meat
Jan-2021,2021,1,Average Weight in Pounds,Cattle,"1,403.00",Federally Inspected,Live,Red Meat
Dec-2020,2020,12,Average Weight in Pounds,Cattle,"1,392.00",Federally Inspected,Live,Red Meat
Nov-2020,2020,11,Average Weight in Pounds,Cattle,"1,391.00",Federally Inspected,Live,Red Meat
Oct-2020,2020,10,Average Weight in Pounds,Cattle,"1,389.00",Federally Inspected,Live,Red Meat
Sep-2020,2020,9,Average Weight in Pounds,Cattle,"1,382.00",Federally Inspected,Live,Red Meat
Aug-2020,2020,8,Average Weight in Pounds,Cattle,"1,368.00",Federally Inspected,Live,Red Meat
Jul-2020,2020,7,Average Weight in Pounds,Cattle,"1,366.00",Federally Inspected,Live,Red Meat
Jun-2020,2020,6,Average Weight in Pounds,Cattle,"1,368.00",Federally Inspected,Live,Red Meat
May-2020,2020,5,Average Weight in Pounds,Cattle,"1,371.00",Federally Inspected,Live,Red Meat
Apr-2020,2020,4,Average Weight in Pounds,Cattle,"1,357.00",Federally Inspected,Live,Red Meat
Mar-2020,2020,3,Average Weight in Pounds,Cattle,"1,371.00",Federally Inspected,Live,Red Meat
Feb-2020,2020,2,Average Weight in Pounds,Cattle,"1,379.00",Federally Inspected,Live,Red Meat
Jan-2020,2020,1,Average Weight in Pounds,Cattle,"1,378.00",Federally Inspected,Live,Red Meat
Dec-2019,2019,12,Average Weight in Pounds,Cattle,"1,376.00",Federally Inspected,Live,Red Meat
Nov-2019,2019,11,Average Weight in Pounds,Cattle,"1,378.00",Federally Inspected,Live,Red Meat
Oct-2019,2019,10,Average Weight in Pounds,Cattle,"1,363.00",Federally Inspected,Live,Red Meat
Sep-2019,2019,9,Average Weight in Pounds,Cattle,"1,354.00",Federally Inspected,Live,Red Meat
Aug-2019,2019,8,Average Weight in Pounds,Cattle,"1,340.00",Federally Inspected,Live,Red Meat
Jul-2019,2019,7,Average Weight in Pounds,Cattle,"1,328.00",Federally Inspected,Live,Red Meat
Jun-2019,2019,6,Average Weight in Pounds,Cattle,"1,315.00",Federally Inspected,Live,Red Meat
May-2019,2019,5,Average Weight in Pounds,Cattle,"1,317.00",Federally Inspected,Live,Red Meat
Apr-2019,2019,4,Average Weight in Pounds,Cattle,"1,330.00",Federally Inspected,Live,Red Meat
Mar-2019,2019,3,Average Weight in Pounds,Cattle,"1,341.00",Federally Inspected,Live,Red Meat
Feb-2019,2019,2,Average Weight in Pounds,Cattle,"1,354.00",Federally Inspected,Live,Red Meat
Jan-2019,2019,1,Average Weight in Pounds,Cattle,"1,366.00",Federally Inspected,Live,Red Meat
Dec-2018,2018,12,Average Weight in Pounds,Cattle,"1,370.00",Federally Inspected,Live,Red Meat
Nov-2018,2018,11,Average Weight in Pounds,Cattle,"1,372.00",Federally Inspected,Live,Red Meat
Oct-2018,2018,10,Average Weight in Pounds,Cattle,"1,366.00",Federally Inspected,Live,Red Meat
Sep-2018,2018,9,Average Weight in Pounds,Cattle,"1,361.00",Federally Inspected,Live,Red Meat
Aug-2018,2018,8,Average Weight in Pounds,Cattle,"1,346.00",Federally Inspected,Live,Red Meat
Jul-2018,2018,7,Average Weight in Pounds,Cattle,"1,332.00",Federally Inspected,Live,Red Meat
Jun-2018,2018,6,Average Weight in Pounds,Cattle,"1,322.00",Federally Inspected,Live,Red Meat
May-2018,2018,5,Average Weight in Pounds,Cattle,"1,317.00",Federally Inspected,Live,Red Meat
Apr-2018,2018,4,Average Weight in Pounds,Cattle,"1,336.00",Federally Inspected,Live,Red Meat
Mar-2018,2018,3,Average Weight in Pounds,Cattle,"1,360.00",Federally Inspected,Live,Red Meat
Feb-2018,2018,2,Average Weight in Pounds,Cattle,"1,370.00",Federally Inspected,Live,Red Meat
Jan-2018,2018,1,Average Weight in Pounds,Cattle,"1,380.00",Federally Inspected,Live,Red Meat
Dec-2017,2017,12,Average Weight in Pounds,Cattle,"1,382.00",Federally Inspected,Live,Red Meat
Nov-2017,2017,11,Average Weight in Pounds,Cattle,"1,376.00",Federally Inspected,Live,Red Meat
Oct-2017,2017,10,Average Weight in Pounds,Cattle,"1,364.00",Federally Inspected,Live,Red Meat
Sep-2017,2017,9,Average Weight in Pounds,Cattle,"1,362.00",Federally Inspected,Live,Red Meat
Aug-2017,2017,8,Average Weight in Pounds,Cattle,"1,347.00",Federally Inspected,Live,Red Meat
Jul-2017,2017,7,Average Weight in Pounds,Cattle,"1,335.00",Federally Inspected,Live,Red Meat
Jun-2017,2017,6,Average Weight in Pounds,Cattle,"1,323.00",Federally Inspected,Live,Red Meat
May-2017,2017,5,Average Weight in Pounds,Cattle,"1,309.00",Federally Inspected,Live,Red Meat
Apr-2017,2017,4,Average Weight in Pounds,Cattle,"1,327.00",Federally Inspected,Live,Red Meat
Mar-2017,2017,3,Average Weight in Pounds,Cattle,"1,352.00",Federally Inspected,Live,Red Meat
Feb-2017,2017,2,Average Weight in Pounds,Cattle,"1,363.00",Federally Inspected,Live,Red Meat
Jan-2017,2017,1,Average Weight in Pounds,Cattle,"1,374.00",Federally Inspected,Live,Red Meat
Dec-2016,2016,12,Average Weight in Pounds,Cattle,"1,384.00",Federally Inspected,Live,Red Meat
Nov-2016,2016,11,Average Weight in Pounds,Cattle,"1,387.00",Federally Inspected,Live,Red Meat
Oct-2016,2016,10,Average Weight in Pounds,Cattle,"1,385.00",Federally Inspected,Live,Red Meat
Sep-2016,2016,9,Average Weight in Pounds,Cattle,"1,373.00",Federally Inspected,Live,Red Meat
Aug-2016,2016,8,Average Weight in Pounds,Cattle,"1,354.00",Federally Inspected,Live,Red Meat
Jul-2016,2016,7,Average Weight in Pounds,Cattle,"1,347.00",Federally Inspected,Live,Red Meat
Jun-2016,2016,6,Average Weight in Pounds,Cattle,"1,337.00",Federally Inspected,Live,Red Meat
May-2016,2016,5,Average Weight in Pounds,Cattle,"1,335.00",Federally Inspected,Live,Red Meat
Apr-2016,2016,4,Average Weight in Pounds,Cattle,"1,351.00",Federally Inspected,Live,Red Meat
Mar-2016,2016,3,Average Weight in Pounds,Cattle,"1,373.00",Federally Inspected,Live,Red Meat
Feb-2016,2016,2,Average Weight in Pounds,Cattle,"1,375.00",Federally Inspected,Live,Red Meat
Jan-2016,2016,1,Average Weight in Pounds,Cattle,"1,385.00",Federally Inspected,Live,Red Meat
Dec-2015,2015,12,Average Weight in Pounds,Cattle,"1,391.00",Federally Inspected,Live,Red Meat
Nov-2015,2015,11,Average Weight in Pounds,Cattle,"1,396.00",Federally Inspected,Live,Red Meat
Oct-2015,2015,10,Average Weight in Pounds,Cattle,"1,394.00",Federally Inspected,Live,Red Meat
Sep-2015,2015,9,Average Weight in Pounds,Cattle,"1,386.00",Federally Inspected,Live,Red Meat
Aug-2015,2015,8,Average Weight in Pounds,Cattle,"1,365.00",Federally Inspected,Live,Red Meat
Jul-2015,2015,7,Average Weight in Pounds,Cattle,"1,348.00",Federally Inspected,Live,Red Meat
Jun-2015,2015,6,Average Weight in Pounds,Cattle,"1,335.00",Federally Inspected,Live,Red Meat
May-2015,2015,5,Average Weight in Pounds,Cattle,"1,335.00",Federally Inspected,Live,Red Meat
Apr-2015,2015,4,Average Weight in Pounds,Cattle,"1,341.00",Federally Inspected,Live,Red Meat
Mar-2015,2015,3,Average Weight in Pounds,Cattle,"1,351.00",Federally Inspected,Live,Red Meat
Feb-2015,2015,2,Average Weight in Pounds,Cattle,"1,359.00",Federally Inspected,Live,Red Meat
Jan-2015,2015,1,Average Weight in Pounds,Cattle,"1,362.00",Federally Inspected,Live,Red Meat
Dec-2014,2014,12,Average Weight in Pounds,Cattle,"1,367.00",Federally Inspected,Live,Red Meat
Nov-2014,2014,11,Average Weight in Pounds,Cattle,"1,367.00",Federally Inspected,Live,Red Meat
Oct-2014,2014,10,Average Weight in Pounds,Cattle,"1,359.00",Federally Inspected,Live,Red Meat
Sep-2014,2014,9,Average Weight in Pounds,Cattle,"1,347.00",Federally Inspected,Live,Red Meat
Aug-2014,2014,8,Average Weight in Pounds,Cattle,"1,332.00",Federally Inspected,Live,Red Meat
Jul-2014,2014,7,Average Weight in Pounds,Cattle,"1,322.00",Federally Inspected,Live,Red Meat
Jun-2014,2014,6,Average Weight in Pounds,Cattle,"1,309.00",Federally Inspected,Live,Red Meat
May-2014,2014,5,Average Weight in Pounds,Cattle,"1,302.00",Federally Inspected,Live,Red Meat
Apr-2014,2014,4,Average Weight in Pounds,Cattle,"1,308.00",Federally Inspected,Live,Red Meat
Mar-2014,2014,3,Average Weight in Pounds,Cattle,"1,321.00",Federally Inspected,Live,Red Meat
Feb-2014,2014,2,Average Weight in Pounds,Cattle,"1,334.00",Federally Inspected,Live,Red Meat
Jan-2014,2014,1,Average Weight in Pounds,Cattle,"1,338.00",Federally Inspected,Live,Red Meat
Dec-2013,2013,12,Average Weight in Pounds,Cattle,"1,337.00",Federally Inspected,Live,Red Meat
Nov-2013,2013,11,Average Weight in Pounds,Cattle,"1,342.00",Federally Inspected,Live,Red Meat
Oct-2013,2013,10,Average Weight in Pounds,Cattle,"1,331.00",Federally Inspected,Live,Red Meat
Sep-2013,2013,9,Average Weight in Pounds,Cattle,"1,316.00",Federally Inspected,Live,Red Meat
Aug-2013,2013,8,Average Weight in Pounds,Cattle,"1,312.00",Federally Inspected,Live,Red Meat
Jul-2013,2013,7,Average Weight in Pounds,Cattle,"1,304.00",Federally Inspected,Live,Red Meat
Jun-2013,2013,6,Average Weight in Pounds,Cattle,"1,302.00",Federally Inspected,Live,Red Meat
May-2013,2013,5,Average Weight in Pounds,Cattle,"1,291.00",Federally Inspected,Live,Red Meat
Apr-2013,2013,4,Average Weight in Pounds,Cattle,"1,298.00",Federally Inspected,Live,Red Meat
Mar-2013,2013,3,Average Weight in Pounds,Cattle,"1,315.00",Federally Inspected,Live,Red Meat
Feb-2013,2013,2,Average Weight in Pounds,Cattle,"1,323.00",Federally Inspected,Live,Red Meat
Jan-2013,2013,1,Average Weight in Pounds,Cattle,"1,331.00",Federally Inspected,Live,Red Meat
Dec-2012,2012,12,Average Weight in Pounds,Cattle,"1,327.00",Federally Inspected,Live,Red Meat
Nov-2012,2012,11,Average Weight in Pounds,Cattle,"1,324.00",Federally Inspected,Live,Red Meat
Oct-2012,2012,10,Average Weight in Pounds,Cattle,"1,322.00",Federally Inspected,Live,Red Meat
Sep-2012,2012,9,Average Weight in Pounds,Cattle,"1,314.00",Federally Inspected,Live,Red Meat
Aug-2012,2012,8,Average Weight in Pounds,Cattle,"1,303.00",Federally Inspected,Live,Red Meat
Jul-2012,2012,7,Average Weight in Pounds,Cattle,"1,297.00",Federally Inspected,Live,Red Meat
Jun-2012,2012,6,Average Weight in Pounds,Cattle,"1,293.00",Federally Inspected,Live,Red Meat
May-2012,2012,5,Average Weight in Pounds,Cattle,"1,283.00",Federally Inspected,Live,Red Meat
Apr-2012,2012,4,Average Weight in Pounds,Cattle,"1,284.00",Federally Inspected,Live,Red Meat
Mar-2012,2012,3,Average Weight in Pounds,Cattle,"1,302.00",Federally Inspected,Live,Red Meat
Feb-2012,2012,2,Average Weight in Pounds,Cattle,"1,310.00",Federally Inspected,Live,Red Meat
Jan-2012,2012,1,Average Weight in Pounds,Cattle,"1,303.00",Federally Inspected,Live,Red Meat
Dec-2011,2011,12,Average Weight in Pounds,Cattle,"1,300.00",Federally Inspected,Live,Red Meat
Nov-2011,2011,11,Average Weight in Pounds,Cattle,"1,296.00",Federally Inspected,Live,Red Meat
Oct-2011,2011,10,Average Weight in Pounds,Cattle,"1,292.00",Federally Inspected,Live,Red Meat
Sep-2011,2011,9,Average Weight in Pounds,Cattle,"1,280.00",Federally Inspected,Live,Red Meat
Aug-2011,2011,8,Average Weight in Pounds,Cattle,"1,272.00",Federally Inspected,Live,Red Meat
Jul-2011,2011,7,Average Weight in Pounds,Cattle,"1,274.00",Federally Inspected,Live,Red Meat
Jun-2011,2011,6,Average Weight in Pounds,Cattle,"1,263.00",Federally Inspected,Live,Red Meat
May-2011,2011,5,Average Weight in Pounds,Cattle,"1,255.00",Federally Inspected,Live,Red Meat
Apr-2011,2011,4,Average Weight in Pounds,Cattle,"1,259.00",Federally Inspected,Live,Red Meat
Mar-2011,2011,3,Average Weight in Pounds,Cattle,"1,278.00",Federally Inspected,Live,Red Meat
