Date,Year,Month,Unit,Animal,Count,Commercial_Or_Federally_Inspected,Type_Of_Meat
Oct-1997,1997,10,"1,000 Head",Barrows and Gilts,"8,439.80",Commercial,Red Meat
Sep-1997,1997,9,"1,000 Head",Barrows and Gilts,"7,701.40",Commercial,Red Meat
Aug-1997,1997,8,"1,000 Head",Barrows and Gilts,"7,044.20",Commercial,Red Meat
Jul-1997,1997,7,"1,000 Head",Barrows and Gilts,"6,992.10",Commercial,Red Meat
Jun-1997,1997,6,"1,000 Head",Barrows and Gilts,"6,697.30",Commercial,Red Meat
May-1997,1997,5,"1,000 Head",Barrows and Gilts,"6,803.80",Commercial,Red Meat
Apr-1997,1997,4,"1,000 Head",Barrows and Gilts,"7,415.00",Commercial,Red Meat
Mar-1997,1997,3,"1,000 Head",Barrows and Gilts,"7,292.40",Commercial,Red Meat
Feb-1997,1997,2,"1,000 Head",Barrows and Gilts,"6,695.50",Commercial,Red Meat
Jan-1997,1997,1,"1,000 Head",Barrows and Gilts,"7,447.50",Commercial,Red Meat
Dec-1996,1996,12,"1,000 Head",Barrows and Gilts,"7,319.50",Commercial,Red Meat
Nov-1996,1996,11,"1,000 Head",Barrows and Gilts,"7,320.70",Commercial,Red Meat
Oct-1996,1996,10,"1,000 Head",Barrows and Gilts,"8,252.00",Commercial,Red Meat
Sep-1996,1996,9,"1,000 Head",Barrows and Gilts,"7,373.50",Commercial,Red Meat
Aug-1996,1996,8,"1,000 Head",Barrows and Gilts,"7,327.30",Commercial,Red Meat
Jul-1996,1996,7,"1,000 Head",Barrows and Gilts,"6,978.60",Commercial,Red Meat
Jun-1996,1996,6,"1,000 Head",Barrows and Gilts,"6,197.80",Commercial,Red Meat
May-1996,1996,5,"1,000 Head",Barrows and Gilts,"7,251.30",Commercial,Red Meat
Apr-1996,1996,4,"1,000 Head",Barrows and Gilts,"7,636.80",Commercial,Red Meat
Mar-1996,1996,3,"1,000 Head",Barrows and Gilts,"7,336.40",Commercial,Red Meat
Feb-1996,1996,2,"1,000 Head",Barrows and Gilts,"7,303.30",Commercial,Red Meat
Jan-1996,1996,1,"1,000 Head",Barrows and Gilts,"7,921.40",Commercial,Red Meat
Dec-1995,1995,12,"1,000 Head",Barrows and Gilts,"7,711.30",Commercial,Red Meat
Nov-1995,1995,11,"1,000 Head",Barrows and Gilts,"8,211.70",Commercial,Red Meat
Oct-1995,1995,10,"1,000 Head",Barrows and Gilts,"8,164.90",Commercial,Red Meat
Sep-1995,1995,9,"1,000 Head",Barrows and Gilts,"7,544.20",Commercial,Red Meat
Aug-1995,1995,8,"1,000 Head",Barrows and Gilts,"7,829.40",Commercial,Red Meat
Jul-1995,1995,7,"1,000 Head",Barrows and Gilts,"6,684.80",Commercial,Red Meat
Jun-1995,1995,6,"1,000 Head",Barrows and Gilts,"7,482.60",Commercial,Red Meat
May-1995,1995,5,"1,000 Head",Barrows and Gilts,"7,807.90",Commercial,Red Meat
Apr-1995,1995,4,"1,000 Head",Barrows and Gilts,"7,208.00",Commercial,Red Meat
Mar-1995,1995,3,"1,000 Head",Barrows and Gilts,"8,390.40",Commercial,Red Meat
Feb-1995,1995,2,"1,000 Head",Barrows and Gilts,"6,966.70",Commercial,Red Meat
Jan-1995,1995,1,"1,000 Head",Barrows and Gilts,"7,680.90",Commercial,Red Meat
Dec-1994,1994,12,"1,000 Head",Barrows and Gilts,"8,313.30",Commercial,Red Meat
Nov-1994,1994,11,"1,000 Head",Barrows and Gilts,"8,271.50",Commercial,Red Meat
Oct-1994,1994,10,"1,000 Head",Barrows and Gilts,"8,361.60",Commercial,Red Meat
Sep-1994,1994,9,"1,000 Head",Barrows and Gilts,"7,962.30",Commercial,Red Meat
Aug-1994,1994,8,"1,000 Head",Barrows and Gilts,"7,745.20",Commercial,Red Meat
Jul-1994,1994,7,"1,000 Head",Barrows and Gilts,"6,700.80",Commercial,Red Meat
Jun-1994,1994,6,"1,000 Head",Barrows and Gilts,"7,202.30",Commercial,Red Meat
May-1994,1994,5,"1,000 Head",Barrows and Gilts,"7,188.70",Commercial,Red Meat
Apr-1994,1994,4,"1,000 Head",Barrows and Gilts,"7,414.40",Commercial,Red Meat
Mar-1994,1994,3,"1,000 Head",Barrows and Gilts,"7,903.40",Commercial,Red Meat
Feb-1994,1994,2,"1,000 Head",Barrows and Gilts,"6,596.80",Commercial,Red Meat
Jan-1994,1994,1,"1,000 Head",Barrows and Gilts,"7,099.00",Commercial,Red Meat
Dec-1993,1993,12,"1,000 Head",Barrows and Gilts,"7,992.30",Commercial,Red Meat
Nov-1993,1993,11,"1,000 Head",Barrows and Gilts,"7,755.40",Commercial,Red Meat
Oct-1993,1993,10,"1,000 Head",Barrows and Gilts,"7,653.60",Commercial,Red Meat
Sep-1993,1993,9,"1,000 Head",Barrows and Gilts,"7,522.70",Commercial,Red Meat
Aug-1993,1993,8,"1,000 Head",Barrows and Gilts,"7,231.80",Commercial,Red Meat
Jul-1993,1993,7,"1,000 Head",Barrows and Gilts,"6,782.60",Commercial,Red Meat
Jun-1993,1993,6,"1,000 Head",Barrows and Gilts,"7,101.10",Commercial,Red Meat
May-1993,1993,5,"1,000 Head",Barrows and Gilts,"6,793.10",Commercial,Red Meat
Apr-1993,1993,4,"1,000 Head",Barrows and Gilts,"7,622.50",Commercial,Red Meat
Mar-1993,1993,3,"1,000 Head",Barrows and Gilts,"7,743.20",Commercial,Red Meat
Feb-1993,1993,2,"1,000 Head",Barrows and Gilts,"6,749.40",Commercial,Red Meat
Jan-1993,1993,1,"1,000 Head",Barrows and Gilts,"7,441.60",Commercial,Red Meat
Dec-1992,1992,12,"1,000 Head",Barrows and Gilts,"7,934.30",Commercial,Red Meat
Nov-1992,1992,11,"1,000 Head",Barrows and Gilts,"7,603.00",Commercial,Red Meat
Oct-1992,1992,10,"1,000 Head",Barrows and Gilts,"8,369.20",Commercial,Red Meat
Sep-1992,1992,9,"1,000 Head",Barrows and Gilts,"7,993.10",Commercial,Red Meat
Aug-1992,1992,8,"1,000 Head",Barrows and Gilts,"7,268.40",Commercial,Red Meat
Jul-1992,1992,7,"1,000 Head",Barrows and Gilts,"7,174.70",Commercial,Red Meat
Jun-1992,1992,6,"1,000 Head",Barrows and Gilts,"6,905.30",Commercial,Red Meat
May-1992,1992,5,"1,000 Head",Barrows and Gilts,"6,688.10",Commercial,Red Meat
Apr-1992,1992,4,"1,000 Head",Barrows and Gilts,"7,395.10",Commercial,Red Meat
Mar-1992,1992,3,"1,000 Head",Barrows and Gilts,"7,742.20",Commercial,Red Meat
Feb-1992,1992,2,"1,000 Head",Barrows and Gilts,"6,966.50",Commercial,Red Meat
Jan-1992,1992,1,"1,000 Head",Barrows and Gilts,"7,926.50",Commercial,Red Meat
Dec-1991,1991,12,"1,000 Head",Barrows and Gilts,"7,530.50",Commercial,Red Meat
Nov-1991,1991,11,"1,000 Head",Barrows and Gilts,"7,561.50",Commercial,Red Meat
Oct-1991,1991,10,"1,000 Head",Barrows and Gilts,"8,091.30",Commercial,Red Meat
Sep-1991,1991,9,"1,000 Head",Barrows and Gilts,"6,991.00",Commercial,Red Meat
Aug-1991,1991,8,"1,000 Head",Barrows and Gilts,"6,865.30",Commercial,Red Meat
Jul-1991,1991,7,"1,000 Head",Barrows and Gilts,"6,320.00",Commercial,Red Meat
Jun-1991,1991,6,"1,000 Head",Barrows and Gilts,"5,930.60",Commercial,Red Meat
May-1991,1991,5,"1,000 Head",Barrows and Gilts,"6,768.50",Commercial,Red Meat
Apr-1991,1991,4,"1,000 Head",Barrows and Gilts,"7,147.30",Commercial,Red Meat
Mar-1991,1991,3,"1,000 Head",Barrows and Gilts,"6,880.60",Commercial,Red Meat
Feb-1991,1991,2,"1,000 Head",Barrows and Gilts,"6,312.20",Commercial,Red Meat
Jan-1991,1991,1,"1,000 Head",Barrows and Gilts,"7,271.80",Commercial,Red Meat
Dec-1990,1990,12,"1,000 Head",Barrows and Gilts,"7,003.30",Commercial,Red Meat
Nov-1990,1990,11,"1,000 Head",Barrows and Gilts,"7,152.10",Commercial,Red Meat
Oct-1990,1990,10,"1,000 Head",Barrows and Gilts,"7,350.90",Commercial,Red Meat
Sep-1990,1990,9,"1,000 Head",Barrows and Gilts,"6,509.90",Commercial,Red Meat
Aug-1990,1990,8,"1,000 Head",Barrows and Gilts,"6,847.80",Commercial,Red Meat
Jul-1990,1990,7,"1,000 Head",Barrows and Gilts,"5,745.00",Commercial,Red Meat
Jun-1990,1990,6,"1,000 Head",Barrows and Gilts,"5,908.00",Commercial,Red Meat
May-1990,1990,5,"1,000 Head",Barrows and Gilts,"6,581.10",Commercial,Red Meat
Apr-1990,1990,4,"1,000 Head",Barrows and Gilts,"6,618.90",Commercial,Red Meat
Mar-1990,1990,3,"1,000 Head",Barrows and Gilts,"7,090.20",Commercial,Red Meat
Feb-1990,1990,2,"1,000 Head",Barrows and Gilts,"6,495.00",Commercial,Red Meat
Jan-1990,1990,1,"1,000 Head",Barrows and Gilts,"7,204.70",Commercial,Red Meat
Dec-1989,1989,12,"1,000 Head",Barrows and Gilts,"6,836.90",Commercial,Red Meat
Nov-1989,1989,11,"1,000 Head",Barrows and Gilts,"7,610.30",Commercial,Red Meat
Oct-1989,1989,10,"1,000 Head",Barrows and Gilts,"7,600.90",Commercial,Red Meat
Sep-1989,1989,9,"1,000 Head",Barrows and Gilts,"7,239.70",Commercial,Red Meat
Aug-1989,1989,8,"1,000 Head",Barrows and Gilts,"7,080.50",Commercial,Red Meat
Jul-1989,1989,7,"1,000 Head",Barrows and Gilts,"5,860.40",Commercial,Red Meat
Jun-1989,1989,6,"1,000 Head",Barrows and Gilts,"6,613.70",Commercial,Red Meat
May-1989,1989,5,"1,000 Head",Barrows and Gilts,"7,052.70",Commercial,Red Meat
Apr-1989,1989,4,"1,000 Head",Barrows and Gilts,"7,020.80",Commercial,Red Meat
Mar-1989,1989,3,"1,000 Head",Barrows and Gilts,"7,366.10",Commercial,Red Meat
Feb-1989,1989,2,"1,000 Head",Barrows and Gilts,"6,463.00",Commercial,Red Meat
Jan-1989,1989,1,"1,000 Head",Barrows and Gilts,"6,909.00",Commercial,Red Meat
Dec-1988,1988,12,"1,000 Head",Barrows and Gilts,"7,542.20",Commercial,Red Meat
Nov-1988,1988,11,"1,000 Head",Barrows and Gilts,"7,721.30",Commercial,Red Meat
Oct-1988,1988,10,"1,000 Head",Barrows and Gilts,"7,668.10",Commercial,Red Meat
Sep-1988,1988,9,"1,000 Head",Barrows and Gilts,"7,238.90",Commercial,Red Meat
Aug-1988,1988,8,"1,000 Head",Barrows and Gilts,"6,800.50",Commercial,Red Meat
Jul-1988,1988,7,"1,000 Head",Barrows and Gilts,"5,928.50",Commercial,Red Meat
Jun-1988,1988,6,"1,000 Head",Barrows and Gilts,"6,451.00",Commercial,Red Meat
May-1988,1988,5,"1,000 Head",Barrows and Gilts,"6,526.10",Commercial,Red Meat
Apr-1988,1988,4,"1,000 Head",Barrows and Gilts,"6,758.60",Commercial,Red Meat
Mar-1988,1988,3,"1,000 Head",Barrows and Gilts,"7,315.00",Commercial,Red Meat
Feb-1988,1988,2,"1,000 Head",Barrows and Gilts,"6,332.00",Commercial,Red Meat
Jan-1988,1988,1,"1,000 Head",Barrows and Gilts,"6,633.80",Commercial,Red Meat
Dec-1987,1987,12,"1,000 Head",Barrows and Gilts,"7,460.70",Commercial,Red Meat
Nov-1987,1987,11,"1,000 Head",Barrows and Gilts,"6,979.40",Commercial,Red Meat
Oct-1987,1987,10,"1,000 Head",Barrows and Gilts,"7,336.80",Commercial,Red Meat
Sep-1987,1987,9,"1,000 Head",Barrows and Gilts,"6,638.90",Commercial,Red Meat
Aug-1987,1987,8,"1,000 Head",Barrows and Gilts,"5,784.60",Commercial,Red Meat
Jul-1987,1987,7,"1,000 Head",Barrows and Gilts,"5,777.30",Commercial,Red Meat
Jun-1987,1987,6,"1,000 Head",Barrows and Gilts,"5,771.50",Commercial,Red Meat
May-1987,1987,5,"1,000 Head",Barrows and Gilts,"5,771.40",Commercial,Red Meat
Apr-1987,1987,4,"1,000 Head",Barrows and Gilts,"6,334.50",Commercial,Red Meat
Mar-1987,1987,3,"1,000 Head",Barrows and Gilts,"6,654.00",Commercial,Red Meat
Feb-1987,1987,2,"1,000 Head",Barrows and Gilts,"5,760.50",Commercial,Red Meat
Jan-1987,1987,1,"1,000 Head",Barrows and Gilts,"6,593.70",Commercial,Red Meat
Dec-1986,1986,12,"1,000 Head",Barrows and Gilts,"6,386.70",Commercial,Red Meat
Nov-1986,1986,11,"1,000 Head",Barrows and Gilts,"5,925.80",Commercial,Red Meat
Oct-1986,1986,10,"1,000 Head",Barrows and Gilts,"6,911.20",Commercial,Red Meat
Sep-1986,1986,9,"1,000 Head",Barrows and Gilts,"6,118.80",Commercial,Red Meat
Aug-1986,1986,8,"1,000 Head",Barrows and Gilts,"5,574.50",Commercial,Red Meat
Jul-1986,1986,7,"1,000 Head",Barrows and Gilts,"5,671.30",Commercial,Red Meat
Jun-1986,1986,6,"1,000 Head",Barrows and Gilts,"5,698.20",Commercial,Red Meat
May-1986,1986,5,"1,000 Head",Barrows and Gilts,"6,526.60",Commercial,Red Meat
Apr-1986,1986,4,"1,000 Head",Barrows and Gilts,"6,999.10",Commercial,Red Meat
Mar-1986,1986,3,"1,000 Head",Barrows and Gilts,"6,515.00",Commercial,Red Meat
Feb-1986,1986,2,"1,000 Head",Barrows and Gilts,"5,992.20",Commercial,Red Meat
Jan-1986,1986,1,"1,000 Head",Barrows and Gilts,"6,764.30",Commercial,Red Meat
Dec-1985,1985,12,"1,000 Head",Barrows and Gilts,"6,467.60",Commercial,Red Meat
Nov-1985,1985,11,"1,000 Head",Barrows and Gilts,"6,628.90",Commercial,Red Meat
Oct-1985,1985,10,"1,000 Head",Barrows and Gilts,"7,348.10",Commercial,Red Meat
Sep-1985,1985,9,"1,000 Head",Barrows and Gilts,"6,538.40",Commercial,Red Meat
Aug-1985,1985,8,"1,000 Head",Barrows and Gilts,"6,565.60",Commercial,Red Meat
Jul-1985,1985,7,"1,000 Head",Barrows and Gilts,"6,155.80",Commercial,Red Meat
Jun-1985,1985,6,"1,000 Head",Barrows and Gilts,"5,991.40",Commercial,Red Meat
May-1985,1985,5,"1,000 Head",Barrows and Gilts,"7,163.00",Commercial,Red Meat
Apr-1985,1985,4,"1,000 Head",Barrows and Gilts,"7,016.40",Commercial,Red Meat
Mar-1985,1985,3,"1,000 Head",Barrows and Gilts,"6,766.20",Commercial,Red Meat
Feb-1985,1985,2,"1,000 Head",Barrows and Gilts,"6,040.60",Commercial,Red Meat
Jan-1985,1985,1,"1,000 Head",Barrows and Gilts,"6,919.50",Commercial,Red Meat
Dec-1984,1984,12,"1,000 Head",Barrows and Gilts,"6,547.60",Commercial,Red Meat
Nov-1984,1984,11,"1,000 Head",Barrows and Gilts,"7,105.50",Commercial,Red Meat
Oct-1984,1984,10,"1,000 Head",Barrows and Gilts,"7,656.90",Commercial,Red Meat
Sep-1984,1984,9,"1,000 Head",Barrows and Gilts,"6,210.10",Commercial,Red Meat
Aug-1984,1984,8,"1,000 Head",Barrows and Gilts,"6,317.70",Commercial,Red Meat
Jul-1984,1984,7,"1,000 Head",Barrows and Gilts,"5,544.10",Commercial,Red Meat
Jun-1984,1984,6,"1,000 Head",Barrows and Gilts,"6,162.00",Commercial,Red Meat
May-1984,1984,5,"1,000 Head",Barrows and Gilts,"6,951.20",Commercial,Red Meat
Apr-1984,1984,4,"1,000 Head",Barrows and Gilts,"6,771.80",Commercial,Red Meat
Mar-1984,1984,3,"1,000 Head",Barrows and Gilts,"7,403.90",Commercial,Red Meat
Feb-1984,1984,2,"1,000 Head",Barrows and Gilts,"6,417.40",Commercial,Red Meat
Jan-1984,1984,1,"1,000 Head",Barrows and Gilts,"6,727.10",Commercial,Red Meat
Dec-1983,1983,12,"1,000 Head",Barrows and Gilts,"7,321.40",Commercial,Red Meat
Nov-1983,1983,11,"1,000 Head",Barrows and Gilts,"7,926.90",Commercial,Red Meat
Oct-1983,1983,10,"1,000 Head",Barrows and Gilts,"7,559.90",Commercial,Red Meat
Sep-1983,1983,9,"1,000 Head",Barrows and Gilts,"6,936.50",Commercial,Red Meat
Aug-1983,1983,8,"1,000 Head",Barrows and Gilts,"6,680.50",Commercial,Red Meat
Jul-1983,1983,7,"1,000 Head",Barrows and Gilts,"6,031.40",Commercial,Red Meat
Jun-1983,1983,6,"1,000 Head",Barrows and Gilts,"6,741.00",Commercial,Red Meat
May-1983,1983,5,"1,000 Head",Barrows and Gilts,"6,697.30",Commercial,Red Meat
Apr-1983,1983,4,"1,000 Head",Barrows and Gilts,"6,929.10",Commercial,Red Meat
Mar-1983,1983,3,"1,000 Head",Barrows and Gilts,"7,216.00",Commercial,Red Meat
Feb-1983,1983,2,"1,000 Head",Barrows and Gilts,"5,645.60",Commercial,Red Meat
Jan-1983,1983,1,"1,000 Head",Barrows and Gilts,"6,279.10",Commercial,Red Meat
Dec-1982,1982,12,"1,000 Head",Barrows and Gilts,"19,582.50",Commercial,Red Meat
Dec-2023,2023,12,"1,000 Head",Sows,255.4,Commercial,Red Meat
Nov-2023,2023,11,"1,000 Head",Sows,259.2,Commercial,Red Meat
Oct-2023,2023,10,"1,000 Head",Sows,277.3,Commercial,Red Meat
Sep-2023,2023,9,"1,000 Head",Sows,260.4,Commercial,Red Meat
Aug-2023,2023,8,"1,000 Head",Sows,295.5,Commercial,Red Meat
Jul-2023,2023,7,"1,000 Head",Sows,271.5,Commercial,Red Meat
Jun-2023,2023,6,"1,000 Head",Sows,291.2,Commercial,Red Meat
May-2023,2023,5,"1,000 Head",Sows,276,Commercial,Red Meat
Apr-2023,2023,4,"1,000 Head",Sows,228.8,Commercial,Red Meat
Mar-2023,2023,3,"1,000 Head",Sows,275.3,Commercial,Red Meat
Feb-2023,2023,2,"1,000 Head",Sows,241,Commercial,Red Meat
Jan-2023,2023,1,"1,000 Head",Sows,268.1,Commercial,Red Meat
Dec-2022,2022,12,"1,000 Head",Sows,251.4,Commercial,Red Meat
Nov-2022,2022,11,"1,000 Head",Sows,252.4,Commercial,Red Meat
Oct-2022,2022,10,"1,000 Head",Sows,267.7,Commercial,Red Meat
Sep-2022,2022,9,"1,000 Head",Sows,260.3,Commercial,Red Meat
Aug-2022,2022,8,"1,000 Head",Sows,275.2,Commercial,Red Meat
Jul-2022,2022,7,"1,000 Head",Sows,239,Commercial,Red Meat
Jun-2022,2022,6,"1,000 Head",Sows,269,Commercial,Red Meat
May-2022,2022,5,"1,000 Head",Sows,246.4,Commercial,Red Meat
Apr-2022,2022,4,"1,000 Head",Sows,243.3,Commercial,Red Meat
Mar-2022,2022,3,"1,000 Head",Sows,283.6,Commercial,Red Meat
Feb-2022,2022,2,"1,000 Head",Sows,240.4,Commercial,Red Meat
Jan-2022,2022,1,"1,000 Head",Sows,254.2,Commercial,Red Meat
Dec-2021,2021,12,"1,000 Head",Sows,259.5,Commercial,Red Meat
Nov-2021,2021,11,"1,000 Head",Sows,251.8,Commercial,Red Meat
Oct-2021,2021,10,"1,000 Head",Sows,247.9,Commercial,Red Meat
Sep-2021,2021,9,"1,000 Head",Sows,253.4,Commercial,Red Meat
Aug-2021,2021,8,"1,000 Head",Sows,259.5,Commercial,Red Meat
Jul-2021,2021,7,"1,000 Head",Sows,248.1,Commercial,Red Meat
Jun-2021,2021,6,"1,000 Head",Sows,270.5,Commercial,Red Meat
May-2021,2021,5,"1,000 Head",Sows,244,Commercial,Red Meat
Apr-2021,2021,4,"1,000 Head",Sows,271.8,Commercial,Red Meat
Mar-2021,2021,3,"1,000 Head",Sows,310.1,Commercial,Red Meat
Feb-2021,2021,2,"1,000 Head",Sows,242.4,Commercial,Red Meat
Jan-2021,2021,1,"1,000 Head",Sows,272.4,Commercial,Red Meat
Dec-2020,2020,12,"1,000 Head",Sows,285.1,Commercial,Red Meat
Nov-2020,2020,11,"1,000 Head",Sows,252.2,Commercial,Red Meat
Oct-2020,2020,10,"1,000 Head",Sows,279.7,Commercial,Red Meat
Sep-2020,2020,9,"1,000 Head",Sows,277.9,Commercial,Red Meat
Aug-2020,2020,8,"1,000 Head",Sows,277,Commercial,Red Meat
Jul-2020,2020,7,"1,000 Head",Sows,280.3,Commercial,Red Meat
Jun-2020,2020,6,"1,000 Head",Sows,296.5,Commercial,Red Meat
May-2020,2020,5,"1,000 Head",Sows,280.3,Commercial,Red Meat
Apr-2020,2020,4,"1,000 Head",Sows,293.9,Commercial,Red Meat
Mar-2020,2020,3,"1,000 Head",Sows,284.5,Commercial,Red Meat
Feb-2020,2020,2,"1,000 Head",Sows,249.4,Commercial,Red Meat
Jan-2020,2020,1,"1,000 Head",Sows,284.4,Commercial,Red Meat
Dec-2019,2019,12,"1,000 Head",Sows,256.9,Commercial,Red Meat
Nov-2019,2019,11,"1,000 Head",Sows,245.3,Commercial,Red Meat
Oct-2019,2019,10,"1,000 Head",Sows,278.6,Commercial,Red Meat
Sep-2019,2019,9,"1,000 Head",Sows,239.7,Commercial,Red Meat
Aug-2019,2019,8,"1,000 Head",Sows,246.2,Commercial,Red Meat
Jul-2019,2019,7,"1,000 Head",Sows,255,Commercial,Red Meat
Jun-2019,2019,6,"1,000 Head",Sows,243.1,Commercial,Red Meat
May-2019,2019,5,"1,000 Head",Sows,253.9,Commercial,Red Meat
Apr-2019,2019,4,"1,000 Head",Sows,257.1,Commercial,Red Meat
Mar-2019,2019,3,"1,000 Head",Sows,250.4,Commercial,Red Meat
Feb-2019,2019,2,"1,000 Head",Sows,235.2,Commercial,Red Meat
Jan-2019,2019,1,"1,000 Head",Sows,266.7,Commercial,Red Meat
Dec-2018,2018,12,"1,000 Head",Sows,240.2,Commercial,Red Meat
Nov-2018,2018,11,"1,000 Head",Sows,255,Commercial,Red Meat
Oct-2018,2018,10,"1,000 Head",Sows,281.1,Commercial,Red Meat
Sep-2018,2018,9,"1,000 Head",Sows,228.2,Commercial,Red Meat
Aug-2018,2018,8,"1,000 Head",Sows,270.1,Commercial,Red Meat
Jul-2018,2018,7,"1,000 Head",Sows,241.8,Commercial,Red Meat
Jun-2018,2018,6,"1,000 Head",Sows,247.2,Commercial,Red Meat
May-2018,2018,5,"1,000 Head",Sows,261.7,Commercial,Red Meat
Apr-2018,2018,4,"1,000 Head",Sows,245.8,Commercial,Red Meat
Mar-2018,2018,3,"1,000 Head",Sows,259,Commercial,Red Meat
Feb-2018,2018,2,"1,000 Head",Sows,238,Commercial,Red Meat
Jan-2018,2018,1,"1,000 Head",Sows,264.2,Commercial,Red Meat
Dec-2017,2017,12,"1,000 Head",Sows,242.8,Commercial,Red Meat
Nov-2017,2017,11,"1,000 Head",Sows,251.2,Commercial,Red Meat
Oct-2017,2017,10,"1,000 Head",Sows,260.5,Commercial,Red Meat
Sep-2017,2017,9,"1,000 Head",Sows,234.3,Commercial,Red Meat
Aug-2017,2017,8,"1,000 Head",Sows,258.4,Commercial,Red Meat
Jul-2017,2017,7,"1,000 Head",Sows,221.4,Commercial,Red Meat
Jun-2017,2017,6,"1,000 Head",Sows,257.7,Commercial,Red Meat
May-2017,2017,5,"1,000 Head",Sows,256.2,Commercial,Red Meat
Apr-2017,2017,4,"1,000 Head",Sows,234.6,Commercial,Red Meat
Mar-2017,2017,3,"1,000 Head",Sows,273.9,Commercial,Red Meat
Feb-2017,2017,2,"1,000 Head",Sows,234.6,Commercial,Red Meat
Jan-2017,2017,1,"1,000 Head",Sows,245.7,Commercial,Red Meat
Dec-2016,2016,12,"1,000 Head",Sows,244.5,Commercial,Red Meat
Nov-2016,2016,11,"1,000 Head",Sows,249.9,Commercial,Red Meat
Oct-2016,2016,10,"1,000 Head",Sows,244.7,Commercial,Red Meat
Sep-2016,2016,9,"1,000 Head",Sows,248.4,Commercial,Red Meat
Aug-2016,2016,8,"1,000 Head",Sows,257.2,Commercial,Red Meat
Jul-2016,2016,7,"1,000 Head",Sows,223.4,Commercial,Red Meat
Jun-2016,2016,6,"1,000 Head",Sows,241.5,Commercial,Red Meat
May-2016,2016,5,"1,000 Head",Sows,228.6,Commercial,Red Meat
Apr-2016,2016,4,"1,000 Head",Sows,236.4,Commercial,Red Meat
Mar-2016,2016,3,"1,000 Head",Sows,259.4,Commercial,Red Meat
Feb-2016,2016,2,"1,000 Head",Sows,237.2,Commercial,Red Meat
Jan-2016,2016,1,"1,000 Head",Sows,233.9,Commercial,Red Meat
Dec-2015,2015,12,"1,000 Head",Sows,249.9,Commercial,Red Meat
Nov-2015,2015,11,"1,000 Head",Sows,221.4,Commercial,Red Meat
Oct-2015,2015,10,"1,000 Head",Sows,246.8,Commercial,Red Meat
Sep-2015,2015,9,"1,000 Head",Sows,246.2,Commercial,Red Meat
Aug-2015,2015,8,"1,000 Head",Sows,231,Commercial,Red Meat
Jul-2015,2015,7,"1,000 Head",Sows,246.8,Commercial,Red Meat
Jun-2015,2015,6,"1,000 Head",Sows,252.8,Commercial,Red Meat
May-2015,2015,5,"1,000 Head",Sows,231.9,Commercial,Red Meat
Apr-2015,2015,4,"1,000 Head",Sows,235.7,Commercial,Red Meat
Mar-2015,2015,3,"1,000 Head",Sows,249.1,Commercial,Red Meat
Feb-2015,2015,2,"1,000 Head",Sows,223.5,Commercial,Red Meat
Jan-2015,2015,1,"1,000 Head",Sows,236.6,Commercial,Red Meat
Dec-2014,2014,12,"1,000 Head",Sows,259.9,Commercial,Red Meat
Nov-2014,2014,11,"1,000 Head",Sows,220.8,Commercial,Red Meat
Oct-2014,2014,10,"1,000 Head",Sows,261.8,Commercial,Red Meat
Sep-2014,2014,9,"1,000 Head",Sows,238.9,Commercial,Red Meat
Aug-2014,2014,8,"1,000 Head",Sows,220.8,Commercial,Red Meat
Jul-2014,2014,7,"1,000 Head",Sows,230.3,Commercial,Red Meat
Jun-2014,2014,6,"1,000 Head",Sows,221,Commercial,Red Meat
May-2014,2014,5,"1,000 Head",Sows,225,Commercial,Red Meat
Apr-2014,2014,4,"1,000 Head",Sows,238.6,Commercial,Red Meat
Mar-2014,2014,3,"1,000 Head",Sows,230.2,Commercial,Red Meat
Feb-2014,2014,2,"1,000 Head",Sows,218.6,Commercial,Red Meat
Jan-2014,2014,1,"1,000 Head",Sows,241.4,Commercial,Red Meat
Dec-2013,2013,12,"1,000 Head",Sows,242,Commercial,Red Meat
Nov-2013,2013,11,"1,000 Head",Sows,235.5,Commercial,Red Meat
Oct-2013,2013,10,"1,000 Head",Sows,276.2,Commercial,Red Meat
Sep-2013,2013,9,"1,000 Head",Sows,236.5,Commercial,Red Meat
Aug-2013,2013,8,"1,000 Head",Sows,248.1,Commercial,Red Meat
Jul-2013,2013,7,"1,000 Head",Sows,244.3,Commercial,Red Meat
Jun-2013,2013,6,"1,000 Head",Sows,222.1,Commercial,Red Meat
May-2013,2013,5,"1,000 Head",Sows,258.7,Commercial,Red Meat
Apr-2013,2013,4,"1,000 Head",Sows,256.7,Commercial,Red Meat
Mar-2013,2013,3,"1,000 Head",Sows,246.6,Commercial,Red Meat
Feb-2013,2013,2,"1,000 Head",Sows,224.1,Commercial,Red Meat
Jan-2013,2013,1,"1,000 Head",Sows,262.5,Commercial,Red Meat
Dec-2012,2012,12,"1,000 Head",Sows,235.9,Commercial,Red Meat
Nov-2012,2012,11,"1,000 Head",Sows,258.8,Commercial,Red Meat
Oct-2012,2012,10,"1,000 Head",Sows,293,Commercial,Red Meat
Sep-2012,2012,9,"1,000 Head",Sows,253.3,Commercial,Red Meat
Aug-2012,2012,8,"1,000 Head",Sows,285.8,Commercial,Red Meat
Jul-2012,2012,7,"1,000 Head",Sows,244.2,Commercial,Red Meat
Jun-2012,2012,6,"1,000 Head",Sows,245.2,Commercial,Red Meat
