Date,Year,Month,Unit,Animal,Weight,Type_Of_Meat
Oct-2015,2015,10,Million Pounds,Pork,655.93,Red Meat
Sep-2015,2015,9,Million Pounds,Pork,653.76,Red Meat
Aug-2015,2015,8,Million Pounds,Pork,633.21,Red Meat
Jul-2015,2015,7,Million Pounds,Pork,634.53,Red Meat
Jun-2015,2015,6,Million Pounds,Pork,655.3,Red Meat
May-2015,2015,5,Million Pounds,Pork,701.08,Red Meat
Apr-2015,2015,4,Million Pounds,Pork,672.43,Red Meat
Mar-2015,2015,3,Million Pounds,Pork,686.06,Red Meat
Feb-2015,2015,2,Million Pounds,Pork,595.67,Red Meat
Jan-2015,2015,1,Million Pounds,Pork,503.79,Red Meat
Dec-2014,2014,12,Million Pounds,Pork,492.75,Red Meat
Nov-2014,2014,11,Million Pounds,Pork,533.08,Red Meat
Oct-2014,2014,10,Million Pounds,Pork,550.62,Red Meat
Sep-2014,2014,9,Million Pounds,Pork,543.67,Red Meat
Aug-2014,2014,8,Million Pounds,Pork,533.26,Red Meat
Jul-2014,2014,7,Million Pounds,Pork,537.45,Red Meat
Jun-2014,2014,6,Million Pounds,Pork,575.82,Red Meat
May-2014,2014,5,Million Pounds,Pork,583.89,Red Meat
Apr-2014,2014,4,Million Pounds,Pork,575.54,Red Meat
Mar-2014,2014,3,Million Pounds,Pork,654.71,Red Meat
Feb-2014,2014,2,Million Pounds,Pork,618.75,Red Meat
Jan-2014,2014,1,Million Pounds,Pork,554.33,Red Meat
Dec-2013,2013,12,Million Pounds,Pork,546.24,Red Meat
Nov-2013,2013,11,Million Pounds,Pork,565.02,Red Meat
Oct-2013,2013,10,Million Pounds,Pork,567.83,Red Meat
Sep-2013,2013,9,Million Pounds,Pork,548.98,Red Meat
Aug-2013,2013,8,Million Pounds,Pork,543.67,Red Meat
Jul-2013,2013,7,Million Pounds,Pork,565.06,Red Meat
Jun-2013,2013,6,Million Pounds,Pork,658.95,Red Meat
May-2013,2013,5,Million Pounds,Pork,700.98,Red Meat
Apr-2013,2013,4,Million Pounds,Pork,647.78,Red Meat
Mar-2013,2013,3,Million Pounds,Pork,633.4,Red Meat
Feb-2013,2013,2,Million Pounds,Pork,606.43,Red Meat
Jan-2013,2013,1,Million Pounds,Pork,551.51,Red Meat
Dec-2012,2012,12,Million Pounds,Pork,558.69,Red Meat
Nov-2012,2012,11,Million Pounds,Pork,603.5,Red Meat
Oct-2012,2012,10,Million Pounds,Pork,630.45,Red Meat
Sep-2012,2012,9,Million Pounds,Pork,585.8,Red Meat
Aug-2012,2012,8,Million Pounds,Pork,549.62,Red Meat
Jul-2012,2012,7,Million Pounds,Pork,592.88,Red Meat
Jun-2012,2012,6,Million Pounds,Pork,636.02,Red Meat
May-2012,2012,5,Million Pounds,Pork,659.73,Red Meat
Apr-2012,2012,4,Million Pounds,Pork,610.32,Red Meat
Mar-2012,2012,3,Million Pounds,Pork,622.67,Red Meat
Feb-2012,2012,2,Million Pounds,Pork,585.31,Red Meat
Jan-2012,2012,1,Million Pounds,Pork,484.5,Red Meat
Dec-2011,2011,12,Million Pounds,Pork,495.12,Red Meat
Nov-2011,2011,11,Million Pounds,Pork,488.72,Red Meat
Oct-2011,2011,10,Million Pounds,Pork,491.91,Red Meat
Sep-2011,2011,9,Million Pounds,Pork,442.9,Red Meat
Aug-2011,2011,8,Million Pounds,Pork,454.34,Red Meat
Jul-2011,2011,7,Million Pounds,Pork,495.06,Red Meat
Jun-2011,2011,6,Million Pounds,Pork,548.32,Red Meat
May-2011,2011,5,Million Pounds,Pork,549.28,Red Meat
Apr-2011,2011,4,Million Pounds,Pork,574.4,Red Meat
Mar-2011,2011,3,Million Pounds,Pork,574.24,Red Meat
Feb-2011,2011,2,Million Pounds,Pork,538.75,Red Meat
Jan-2011,2011,1,Million Pounds,Pork,475.83,Red Meat
Dec-2010,2010,12,Million Pounds,Pork,467.95,Red Meat
Nov-2010,2010,11,Million Pounds,Pork,481.65,Red Meat
Oct-2010,2010,10,Million Pounds,Pork,424.32,Red Meat
Sep-2010,2010,9,Million Pounds,Pork,388.29,Red Meat
Aug-2010,2010,8,Million Pounds,Pork,391.19,Red Meat
Jul-2010,2010,7,Million Pounds,Pork,412.98,Red Meat
Jun-2010,2010,6,Million Pounds,Pork,446.05,Red Meat
May-2010,2010,5,Million Pounds,Pork,483.71,Red Meat
Apr-2010,2010,4,Million Pounds,Pork,513.07,Red Meat
Mar-2010,2010,3,Million Pounds,Pork,515.91,Red Meat
Feb-2010,2010,2,Million Pounds,Pork,492.29,Red Meat
Jan-2010,2010,1,Million Pounds,Pork,471.13,Red Meat
Dec-2009,2009,12,Million Pounds,Pork,482.82,Red Meat
Nov-2009,2009,11,Million Pounds,Pork,516.3,Red Meat
Oct-2009,2009,10,Million Pounds,Pork,528.68,Red Meat
Sep-2009,2009,9,Million Pounds,Pork,530.15,Red Meat
Aug-2009,2009,8,Million Pounds,Pork,539.7,Red Meat
Jul-2009,2009,7,Million Pounds,Pork,577.91,Red Meat
Jun-2009,2009,6,Million Pounds,Pork,584.54,Red Meat
May-2009,2009,5,Million Pounds,Pork,612.29,Red Meat
Apr-2009,2009,4,Million Pounds,Pork,594.13,Red Meat
Mar-2009,2009,3,Million Pounds,Pork,624.48,Red Meat
Feb-2009,2009,2,Million Pounds,Pork,606.94,Red Meat
Jan-2009,2009,1,Million Pounds,Pork,555.64,Red Meat
Dec-2008,2008,12,Million Pounds,Pork,526.68,Red Meat
Nov-2008,2008,11,Million Pounds,Pork,528.03,Red Meat
Oct-2008,2008,10,Million Pounds,Pork,526.17,Red Meat
Sep-2008,2008,9,Million Pounds,Pork,502.67,Red Meat
Aug-2008,2008,8,Million Pounds,Pork,505.27,Red Meat
Jul-2008,2008,7,Million Pounds,Pork,530.12,Red Meat
Jun-2008,2008,6,Million Pounds,Pork,579.4,Red Meat
May-2008,2008,5,Million Pounds,Pork,663.44,Red Meat
Apr-2008,2008,4,Million Pounds,Pork,657.34,Red Meat
Mar-2008,2008,3,Million Pounds,Pork,611.83,Red Meat
Feb-2008,2008,2,Million Pounds,Pork,574.93,Red Meat
Jan-2008,2008,1,Million Pounds,Pork,458.67,Red Meat
Dec-2007,2007,12,Million Pounds,Pork,474.57,Red Meat
Nov-2007,2007,11,Million Pounds,Pork,494.75,Red Meat
Oct-2007,2007,10,Million Pounds,Pork,484.93,Red Meat
Sep-2007,2007,9,Million Pounds,Pork,458.25,Red Meat
Aug-2007,2007,8,Million Pounds,Pork,455.85,Red Meat
Jul-2007,2007,7,Million Pounds,Pork,467.95,Red Meat
Jun-2007,2007,6,Million Pounds,Pork,491.95,Red Meat
May-2007,2007,5,Million Pounds,Pork,528.53,Red Meat
Apr-2007,2007,4,Million Pounds,Pork,494.76,Red Meat
Mar-2007,2007,3,Million Pounds,Pork,483.2,Red Meat
Feb-2007,2007,2,Million Pounds,Pork,484.3,Red Meat
Jan-2007,2007,1,Million Pounds,Pork,442.5,Red Meat
Dec-2006,2006,12,Million Pounds,Pork,468.48,Red Meat
Nov-2006,2006,11,Million Pounds,Pork,488.41,Red Meat
Oct-2006,2006,10,Million Pounds,Pork,458.36,Red Meat
Sep-2006,2006,9,Million Pounds,Pork,415.56,Red Meat
Aug-2006,2006,8,Million Pounds,Pork,417.77,Red Meat
Jul-2006,2006,7,Million Pounds,Pork,412.62,Red Meat
Jun-2006,2006,6,Million Pounds,Pork,477.01,Red Meat
May-2006,2006,5,Million Pounds,Pork,520.02,Red Meat
Apr-2006,2006,4,Million Pounds,Pork,504.98,Red Meat
Mar-2006,2006,3,Million Pounds,Pork,528.25,Red Meat
Feb-2006,2006,2,Million Pounds,Pork,527.68,Red Meat
Jan-2006,2006,1,Million Pounds,Pork,421.31,Red Meat
Dec-2005,2005,12,Million Pounds,Pork,431.28,Red Meat
Nov-2005,2005,11,Million Pounds,Pork,440.69,Red Meat
Oct-2005,2005,10,Million Pounds,Pork,425.55,Red Meat
Sep-2005,2005,9,Million Pounds,Pork,408.49,Red Meat
Aug-2005,2005,8,Million Pounds,Pork,442.92,Red Meat
Jul-2005,2005,7,Million Pounds,Pork,488.61,Red Meat
Jun-2005,2005,6,Million Pounds,Pork,511.23,Red Meat
May-2005,2005,5,Million Pounds,Pork,562.81,Red Meat
Apr-2005,2005,4,Million Pounds,Pork,540.23,Red Meat
Mar-2005,2005,3,Million Pounds,Pork,538.22,Red Meat
Feb-2005,2005,2,Million Pounds,Pork,496.79,Red Meat
Jan-2005,2005,1,Million Pounds,Pork,482.85,Red Meat
Dec-2004,2004,12,Million Pounds,Pork,436.33,Red Meat
Nov-2004,2004,11,Million Pounds,Pork,423.06,Red Meat
Oct-2004,2004,10,Million Pounds,Pork,413.82,Red Meat
Sep-2004,2004,9,Million Pounds,Pork,382.11,Red Meat
Aug-2004,2004,8,Million Pounds,Pork,366.81,Red Meat
Jul-2004,2004,7,Million Pounds,Pork,373.01,Red Meat
Jun-2004,2004,6,Million Pounds,Pork,412.84,Red Meat
May-2004,2004,5,Million Pounds,Pork,448.55,Red Meat
Apr-2004,2004,4,Million Pounds,Pork,447.35,Red Meat
Mar-2004,2004,3,Million Pounds,Pork,477.12,Red Meat
Feb-2004,2004,2,Million Pounds,Pork,504.11,Red Meat
Jan-2004,2004,1,Million Pounds,Pork,470.66,Red Meat
Dec-2003,2003,12,Million Pounds,Pork,438.94,Red Meat
Nov-2003,2003,11,Million Pounds,Pork,446.84,Red Meat
Oct-2003,2003,10,Million Pounds,Pork,435.15,Red Meat
Sep-2003,2003,9,Million Pounds,Pork,430.24,Red Meat
Aug-2003,2003,8,Million Pounds,Pork,440.65,Red Meat
Jul-2003,2003,7,Million Pounds,Pork,460.01,Red Meat
Jun-2003,2003,6,Million Pounds,Pork,499.72,Red Meat
May-2003,2003,5,Million Pounds,Pork,519.99,Red Meat
Apr-2003,2003,4,Million Pounds,Pork,530.5,Red Meat
Mar-2003,2003,3,Million Pounds,Pork,519.71,Red Meat
Feb-2003,2003,2,Million Pounds,Pork,512.66,Red Meat
Jan-2003,2003,1,Million Pounds,Pork,468.5,Red Meat
Dec-2002,2002,12,Million Pounds,Pork,463.94,Red Meat
Nov-2002,2002,11,Million Pounds,Pork,489.8,Red Meat
Oct-2002,2002,10,Million Pounds,Pork,480.23,Red Meat
Sep-2002,2002,9,Million Pounds,Pork,464.38,Red Meat
Aug-2002,2002,8,Million Pounds,Pork,472.18,Red Meat
Jul-2002,2002,7,Million Pounds,Pork,497.82,Red Meat
Jun-2002,2002,6,Million Pounds,Pork,548,Red Meat
May-2002,2002,5,Million Pounds,Pork,567.72,Red Meat
Apr-2002,2002,4,Million Pounds,Pork,531.45,Red Meat
Mar-2002,2002,3,Million Pounds,Pork,510.93,Red Meat
Feb-2002,2002,2,Million Pounds,Pork,503.88,Red Meat
Jan-2002,2002,1,Million Pounds,Pork,464.96,Red Meat
Dec-2001,2001,12,Million Pounds,Pork,432.73,Red Meat
Nov-2001,2001,11,Million Pounds,Pork,430.56,Red Meat
Oct-2001,2001,10,Million Pounds,Pork,366.95,Red Meat
Sep-2001,2001,9,Million Pounds,Pork,332.57,Red Meat
Aug-2001,2001,8,Million Pounds,Pork,339.55,Red Meat
Jul-2001,2001,7,Million Pounds,Pork,374.11,Red Meat
Jun-2001,2001,6,Million Pounds,Pork,421.47,Red Meat
May-2001,2001,5,Million Pounds,Pork,432.6,Red Meat
Apr-2001,2001,4,Million Pounds,Pork,432.3,Red Meat
Mar-2001,2001,3,Million Pounds,Pork,468.29,Red Meat
Feb-2001,2001,2,Million Pounds,Pork,471.38,Red Meat
Jan-2001,2001,1,Million Pounds,Pork,411.48,Red Meat
Dec-2000,2000,12,Million Pounds,Pork,445.61,Red Meat
Nov-2000,2000,11,Million Pounds,Pork,438.56,Red Meat
Oct-2000,2000,10,Million Pounds,Pork,439.52,Red Meat
Sep-2000,2000,9,Million Pounds,Pork,455.59,Red Meat
Aug-2000,2000,8,Million Pounds,Pork,478.47,Red Meat
Jul-2000,2000,7,Million Pounds,Pork,495.46,Red Meat
Jun-2000,2000,6,Million Pounds,Pork,537.86,Red Meat
May-2000,2000,5,Million Pounds,Pork,532.06,Red Meat
Apr-2000,2000,4,Million Pounds,Pork,534.67,Red Meat
Mar-2000,2000,3,Million Pounds,Pork,523.47,Red Meat
Feb-2000,2000,2,Million Pounds,Pork,481.39,Red Meat
Jan-2000,2000,1,Million Pounds,Pork,415.38,Red Meat
Dec-1999,1999,12,Million Pounds,Pork,422.54,Red Meat
Nov-1999,1999,11,Million Pounds,Pork,438.06,Red Meat
Oct-1999,1999,10,Million Pounds,Pork,430.59,Red Meat
Sep-1999,1999,9,Million Pounds,Pork,432.61,Red Meat
Aug-1999,1999,8,Million Pounds,Pork,494.62,Red Meat
Jul-1999,1999,7,Million Pounds,Pork,528.55,Red Meat
Jun-1999,1999,6,Million Pounds,Pork,572.7,Red Meat
May-1999,1999,5,Million Pounds,Pork,596.93,Red Meat
Apr-1999,1999,4,Million Pounds,Pork,552.84,Red Meat
Mar-1999,1999,3,Million Pounds,Pork,540.85,Red Meat
Feb-1999,1999,2,Million Pounds,Pork,510.32,Red Meat
Jan-1999,1999,1,Million Pounds,Pork,503.51,Red Meat
Dec-1998,1998,12,Million Pounds,Pork,443.44,Red Meat
Nov-1998,1998,11,Million Pounds,Pork,411.89,Red Meat
Oct-1998,1998,10,Million Pounds,Pork,388.85,Red Meat
Sep-1998,1998,9,Million Pounds,Pork,392.56,Red Meat
Aug-1998,1998,8,Million Pounds,Pork,414.62,Red Meat
Jul-1998,1998,7,Million Pounds,Pork,426.81,Red Meat
Jun-1998,1998,6,Million Pounds,Pork,477.36,Red Meat
May-1998,1998,5,Million Pounds,Pork,487.04,Red Meat
Apr-1998,1998,4,Million Pounds,Pork,458.81,Red Meat
Mar-1998,1998,3,Million Pounds,Pork,464.45,Red Meat
Feb-1998,1998,2,Million Pounds,Pork,446.13,Red Meat
Jan-1998,1998,1,Million Pounds,Pork,346.39,Red Meat
Dec-1997,1997,12,Million Pounds,Pork,334.1,Red Meat
Nov-1997,1997,11,Million Pounds,Pork,354.24,Red Meat
Oct-1997,1997,10,Million Pounds,Pork,346.64,Red Meat
Sep-1997,1997,9,Million Pounds,Pork,371.75,Red Meat
Aug-1997,1997,8,Million Pounds,Pork,388.67,Red Meat
Jul-1997,1997,7,Million Pounds,Pork,406.2,Red Meat
Jun-1997,1997,6,Million Pounds,Pork,413.35,Red Meat
May-1997,1997,5,Million Pounds,Pork,440.25,Red Meat
Apr-1997,1997,4,Million Pounds,Pork,404.72,Red Meat
Mar-1997,1997,3,Million Pounds,Pork,383.88,Red Meat
Feb-1997,1997,2,Million Pounds,Pork,342.17,Red Meat
Jan-1997,1997,1,Million Pounds,Pork,313.82,Red Meat
Dec-1996,1996,12,Million Pounds,Pork,316.39,Red Meat
Nov-1996,1996,11,Million Pounds,Pork,333.35,Red Meat
Oct-1996,1996,10,Million Pounds,Pork,340.27,Red Meat
Sep-1996,1996,9,Million Pounds,Pork,322.87,Red Meat
Aug-1996,1996,8,Million Pounds,Pork,322.66,Red Meat
Jul-1996,1996,7,Million Pounds,Pork,351.84,Red Meat
Jun-1996,1996,6,Million Pounds,Pork,381.33,Red Meat
May-1996,1996,5,Million Pounds,Pork,385.49,Red Meat
Apr-1996,1996,4,Million Pounds,Pork,352.86,Red Meat
Mar-1996,1996,3,Million Pounds,Pork,385.53,Red Meat
Feb-1996,1996,2,Million Pounds,Pork,382.22,Red Meat
Jan-1996,1996,1,Million Pounds,Pork,334.78,Red Meat
Dec-1995,1995,12,Million Pounds,Pork,347.14,Red Meat
Nov-1995,1995,11,Million Pounds,Pork,321.63,Red Meat
Oct-1995,1995,10,Million Pounds,Pork,332.63,Red Meat
Sep-1995,1995,9,Million Pounds,Pork,354,Red Meat
Aug-1995,1995,8,Million Pounds,Pork,408.31,Red Meat
Jul-1995,1995,7,Million Pounds,Pork,431.14,Red Meat
Jun-1995,1995,6,Million Pounds,Pork,434.91,Red Meat
May-1995,1995,5,Million Pounds,Pork,422.31,Red Meat
Apr-1995,1995,4,Million Pounds,Pork,414.7,Red Meat
Mar-1995,1995,3,Million Pounds,Pork,395.05,Red Meat
Feb-1995,1995,2,Million Pounds,Pork,389.47,Red Meat
Jan-1995,1995,1,Million Pounds,Pork,365.32,Red Meat
Dec-1994,1994,12,Million Pounds,Pork,383.19,Red Meat
Nov-1994,1994,11,Million Pounds,Pork,385.41,Red Meat
Oct-1994,1994,10,Million Pounds,Pork,352.69,Red Meat
Sep-1994,1994,9,Million Pounds,Pork,364.01,Red Meat
Aug-1994,1994,8,Million Pounds,Pork,393.7,Red Meat
Jul-1994,1994,7,Million Pounds,Pork,410.83,Red Meat
Jun-1994,1994,6,Million Pounds,Pork,437.55,Red Meat
May-1994,1994,5,Million Pounds,Pork,429.69,Red Meat
Apr-1994,1994,4,Million Pounds,Pork,393.07,Red Meat
Mar-1994,1994,3,Million Pounds,Pork,356.93,Red Meat
Feb-1994,1994,2,Million Pounds,Pork,348.81,Red Meat
Jan-1994,1994,1,Million Pounds,Pork,299.21,Red Meat
Dec-1993,1993,12,Million Pounds,Pork,313.01,Red Meat
Nov-1993,1993,11,Million Pounds,Pork,324.83,Red Meat
Oct-1993,1993,10,Million Pounds,Pork,311.24,Red Meat
Sep-1993,1993,9,Million Pounds,Pork,308.91,Red Meat
Aug-1993,1993,8,Million Pounds,Pork,342.48,Red Meat
Jul-1993,1993,7,Million Pounds,Pork,351.34,Red Meat
Jun-1993,1993,6,Million Pounds,Pork,371.63,Red Meat
May-1993,1993,5,Million Pounds,Pork,378.5,Red Meat
Apr-1993,1993,4,Million Pounds,Pork,330.44,Red Meat
Mar-1993,1993,3,Million Pounds,Pork,344.4,Red Meat
Feb-1993,1993,2,Million Pounds,Pork,329.49,Red Meat
Jan-1993,1993,1,Million Pounds,Pork,314.53,Red Meat
Dec-1992,1992,12,Million Pounds,Pork,316.67,Red Meat
Nov-1992,1992,11,Million Pounds,Pork,306.82,Red Meat
Oct-1992,1992,10,Million Pounds,Pork,297.27,Red Meat
Sep-1992,1992,9,Million Pounds,Pork,266.68,Red Meat
Aug-1992,1992,8,Million Pounds,Pork,307.04,Red Meat
Jul-1992,1992,7,Million Pounds,Pork,319.04,Red Meat
Jun-1992,1992,6,Million Pounds,Pork,344.88,Red Meat
May-1992,1992,5,Million Pounds,Pork,362.6,Red Meat
Apr-1992,1992,4,Million Pounds,Pork,372.24,Red Meat
Mar-1992,1992,3,Million Pounds,Pork,352.99,Red Meat
Feb-1992,1992,2,Million Pounds,Pork,341.17,Red Meat
Jan-1992,1992,1,Million Pounds,Pork,311.14,Red Meat
Dec-1991,1991,12,Million Pounds,Pork,308.01,Red Meat
Nov-1991,1991,11,Million Pounds,Pork,299.66,Red Meat
Oct-1991,1991,10,Million Pounds,Pork,280.55,Red Meat
Sep-1991,1991,9,Million Pounds,Pork,282.35,Red Meat
Aug-1991,1991,8,Million Pounds,Pork,277.93,Red Meat
Jul-1991,1991,7,Million Pounds,Pork,312.25,Red Meat
Jun-1991,1991,6,Million Pounds,Pork,333.33,Red Meat
May-1991,1991,5,Million Pounds,Pork,340.04,Red Meat
Apr-1991,1991,4,Million Pounds,Pork,288.98,Red Meat
Mar-1991,1991,3,Million Pounds,Pork,281.23,Red Meat
Feb-1991,1991,2,Million Pounds,Pork,247.01,Red Meat
Jan-1991,1991,1,Million Pounds,Pork,233.57,Red Meat
Dec-1990,1990,12,Million Pounds,Pork,221.47,Red Meat
Nov-1990,1990,11,Million Pounds,Pork,231.88,Red Meat
Oct-1990,1990,10,Million Pounds,Pork,225.8,Red Meat
Sep-1990,1990,9,Million Pounds,Pork,224.75,Red Meat
Aug-1990,1990,8,Million Pounds,Pork,256.44,Red Meat
Jul-1990,1990,7,Million Pounds,Pork,292.6,Red Meat
Jun-1990,1990,6,Million Pounds,Pork,320.25,Red Meat
May-1990,1990,5,Million Pounds,Pork,320.29,Red Meat
Apr-1990,1990,4,Million Pounds,Pork,294.56,Red Meat
Mar-1990,1990,3,Million Pounds,Pork,303.92,Red Meat
Feb-1990,1990,2,Million Pounds,Pork,272.49,Red Meat
Jan-1990,1990,1,Million Pounds,Pork,255.79,Red Meat
Dec-1989,1989,12,Million Pounds,Pork,279.25,Red Meat
Nov-1989,1989,11,Million Pounds,Pork,275.84,Red Meat
Oct-1989,1989,10,Million Pounds,Pork,278,Red Meat
Sep-1989,1989,9,Million Pounds,Pork,277.93,Red Meat
Aug-1989,1989,8,Million Pounds,Pork,342.59,Red Meat
Jul-1989,1989,7,Million Pounds,Pork,380.1,Red Meat
Jun-1989,1989,6,Million Pounds,Pork,428.14,Red Meat
May-1989,1989,5,Million Pounds,Pork,432.44,Red Meat
Apr-1989,1989,4,Million Pounds,Pork,392.79,Red Meat
Mar-1989,1989,3,Million Pounds,Pork,393.48,Red Meat
Feb-1989,1989,2,Million Pounds,Pork,377.61,Red Meat
Jan-1989,1989,1,Million Pounds,Pork,357.89,Red Meat
Dec-1988,1988,12,Million Pounds,Pork,361.31,Red Meat
Nov-1988,1988,11,Million Pounds,Pork,320.79,Red Meat
Oct-1988,1988,10,Million Pounds,Pork,288.02,Red Meat
Sep-1988,1988,9,Million Pounds,Pork,286.97,Red Meat
Aug-1988,1988,8,Million Pounds,Pork,337.21,Red Meat
Jul-1988,1988,7,Million Pounds,Pork,362.77,Red Meat
Jun-1988,1988,6,Million Pounds,Pork,388.56,Red Meat
May-1988,1988,5,Million Pounds,Pork,397.25,Red Meat
Apr-1988,1988,4,Million Pounds,Pork,345.84,Red Meat
Mar-1988,1988,3,Million Pounds,Pork,308.16,Red Meat
Feb-1988,1988,2,Million Pounds,Pork,291.48,Red Meat
Jan-1988,1988,1,Million Pounds,Pork,285.47,Red Meat
Dec-1987,1987,12,Million Pounds,Pork,251.66,Red Meat
Nov-1987,1987,11,Million Pounds,Pork,212.21,Red Meat
Oct-1987,1987,10,Million Pounds,Pork,186.2,Red Meat
Sep-1987,1987,9,Million Pounds,Pork,175.06,Red Meat
Aug-1987,1987,8,Million Pounds,Pork,181.11,Red Meat
Jul-1987,1987,7,Million Pounds,Pork,189.17,Red Meat
Jun-1987,1987,6,Million Pounds,Pork,218.8,Red Meat
May-1987,1987,5,Million Pounds,Pork,217.76,Red Meat
Apr-1987,1987,4,Million Pounds,Pork,221.77,Red Meat
Mar-1987,1987,3,Million Pounds,Pork,228.52,Red Meat
Feb-1987,1987,2,Million Pounds,Pork,217.73,Red Meat
Jan-1987,1987,1,Million Pounds,Pork,197.06,Red Meat
Dec-1986,1986,12,Million Pounds,Pork,206.16,Red Meat
Nov-1986,1986,11,Million Pounds,Pork,215.82,Red Meat
Oct-1986,1986,10,Million Pounds,Pork,185.9,Red Meat
Sep-1986,1986,9,Million Pounds,Pork,184.68,Red Meat
Aug-1986,1986,8,Million Pounds,Pork,214.85,Red Meat
Jul-1986,1986,7,Million Pounds,Pork,247.66,Red Meat
Jun-1986,1986,6,Million Pounds,Pork,275.64,Red Meat
May-1986,1986,5,Million Pounds,Pork,281.95,Red Meat
Apr-1986,1986,4,Million Pounds,Pork,253.5,Red Meat
Mar-1986,1986,3,Million Pounds,Pork,239.14,Red Meat
Feb-1986,1986,2,Million Pounds,Pork,235.38,Red Meat
Jan-1986,1986,1,Million Pounds,Pork,229.42,Red Meat
Dec-1985,1985,12,Million Pounds,Pork,265.01,Red Meat
Nov-1985,1985,11,Million Pounds,Pork,277.48,Red Meat
Oct-1985,1985,10,Million Pounds,Pork,276.95,Red Meat
Sep-1985,1985,9,Million Pounds,Pork,294.71,Red Meat
Aug-1985,1985,8,Million Pounds,Pork,343.13,Red Meat
Jul-1985,1985,7,Million Pounds,Pork,385.02,Red Meat
Jun-1985,1985,6,Million Pounds,Pork,410.29,Red Meat
May-1985,1985,5,Million Pounds,Pork,368.17,Red Meat
Apr-1985,1985,4,Million Pounds,Pork,314.11,Red Meat
Mar-1985,1985,3,Million Pounds,Pork,286.32,Red Meat
Feb-1985,1985,2,Million Pounds,Pork,291.93,Red Meat
Jan-1985,1985,1,Million Pounds,Pork,274.27,Red Meat
Dec-1984,1984,12,Million Pounds,Pork,269.44,Red Meat
Nov-1984,1984,11,Million Pounds,Pork,275.59,Red Meat
Oct-1984,1984,10,Million Pounds,Pork,256.63,Red Meat
Sep-1984,1984,9,Million Pounds,Pork,269.48,Red Meat
Aug-1984,1984,8,Million Pounds,Pork,345.01,Red Meat
Jul-1984,1984,7,Million Pounds,Pork,405.21,Red Meat
Jun-1984,1984,6,Million Pounds,Pork,437.72,Red Meat
May-1984,1984,5,Million Pounds,Pork,390.4,Red Meat
Apr-1984,1984,4,Million Pounds,Pork,350.73,Red Meat
Mar-1984,1984,3,Million Pounds,Pork,311.71,Red Meat
Feb-1984,1984,2,Million Pounds,Pork,295.11,Red Meat
Jan-1984,1984,1,Million Pounds,Pork,300.57,Red Meat
Dec-1983,1983,12,Million Pounds,Pork,295.19,Red Meat
Nov-1983,1983,11,Million Pounds,Pork,239.99,Red Meat
Oct-1983,1983,10,Million Pounds,Pork,209.95,Red Meat
Sep-1983,1983,9,Million Pounds,Pork,214.07,Red Meat
Aug-1983,1983,8,Million Pounds,Pork,252.99,Red Meat
Jul-1983,1983,7,Million Pounds,Pork,280.45,Red Meat
Jun-1983,1983,6,Million Pounds,Pork,293,Red Meat
May-1983,1983,5,Million Pounds,Pork,272.72,Red Meat
Apr-1983,1983,4,Million Pounds,Pork,234.74,Red Meat
Mar-1983,1983,3,Million Pounds,Pork,215.82,Red Meat
Feb-1983,1983,2,Million Pounds,Pork,224.15,Red Meat
Jan-1983,1983,1,Million Pounds,Pork,219.02,Red Meat
Dec-2023,2023,12,Million Pounds,Lamb and Mutton,22.43,Red Meat
Nov-2023,2023,11,Million Pounds,Lamb and Mutton,26.13,Red Meat
Oct-2023,2023,10,Million Pounds,Lamb and Mutton,26.16,Red Meat
Sep-2023,2023,9,Million Pounds,Lamb and Mutton,26.17,Red Meat
Aug-2023,2023,8,Million Pounds,Lamb and Mutton,27.4,Red Meat
Jul-2023,2023,7,Million Pounds,Lamb and Mutton,24.83,Red Meat
Jun-2023,2023,6,Million Pounds,Lamb and Mutton,25.11,Red Meat
May-2023,2023,5,Million Pounds,Lamb and Mutton,24.52,Red Meat
Apr-2023,2023,4,Million Pounds,Lamb and Mutton,25.77,Red Meat
Mar-2023,2023,3,Million Pounds,Lamb and Mutton,29.66,Red Meat
Feb-2023,2023,2,Million Pounds,Lamb and Mutton,25.31,Red Meat
Jan-2023,2023,1,Million Pounds,Lamb and Mutton,26.51,Red Meat
Dec-2022,2022,12,Million Pounds,Lamb and Mutton,29.67,Red Meat
Nov-2022,2022,11,Million Pounds,Lamb and Mutton,28.65,Red Meat
Oct-2022,2022,10,Million Pounds,Lamb and Mutton,30.82,Red Meat
Sep-2022,2022,9,Million Pounds,Lamb and Mutton,29.2,Red Meat
Aug-2022,2022,8,Million Pounds,Lamb and Mutton,25.63,Red Meat
Jul-2022,2022,7,Million Pounds,Lamb and Mutton,22.81,Red Meat
Jun-2022,2022,6,Million Pounds,Lamb and Mutton,22.19,Red Meat
May-2022,2022,5,Million Pounds,Lamb and Mutton,24.41,Red Meat
Apr-2022,2022,4,Million Pounds,Lamb and Mutton,24.01,Red Meat
Mar-2022,2022,3,Million Pounds,Lamb and Mutton,22.22,Red Meat
Feb-2022,2022,2,Million Pounds,Lamb and Mutton,21.86,Red Meat
Jan-2022,2022,1,Million Pounds,Lamb and Mutton,22.12,Red Meat
Dec-2021,2021,12,Million Pounds,Lamb and Mutton,23.49,Red Meat
Nov-2021,2021,11,Million Pounds,Lamb and Mutton,27.16,Red Meat
