,Date,Year,Month,Unit,Type of Meat,Production
289,2022-01-01,2022,1,Million Pounds,Red Meat,"2,266.404.62,280.309.92,228.904.52,270.608.9"
290,2022-02-01,2022,2,Million Pounds,Poultry,"3,484.5042.6443"
291,2022-02-01,2022,2,Million Pounds,Red Meat,"2,250.204.22,168.109.22,214.104.12,158.908.1"
292,2022-03-01,2022,3,Million Pounds,Poultry,"3,995.0049.5422.9"
293,2022-03-01,2022,3,Million Pounds,Red Meat,"2,506.704.92,456.1012.42,464.604.82,445.3011.2"
294,2022-04-01,2022,4,Million Pounds,Poultry,"3,564.9043.5507.8"
295,2022-04-01,2022,4,Million Pounds,Red Meat,"2,326.704.52,201.3012.32,289.504.42,192.0010.8"
296,2022-05-01,2022,5,Million Pounds,Poultry,"3,778.9047.4420.3"
297,2022-05-01,2022,5,Million Pounds,Red Meat,"2,288.904.42,181.6010.82,250.104.32,171.909.6"
298,2022-06-01,2022,6,Million Pounds,Poultry,"3,934.9052.4412.8"
299,2022-06-01,2022,6,Million Pounds,Red Meat,"2,456.004.62,255.6011.52,415.104.52,245.1010.2"
300,2022-07-01,2022,7,Million Pounds,Poultry,"3,684.8045.7442.3"
301,2022-07-01,2022,7,Million Pounds,Red Meat,"2,247.804.11,970.6010.42,214.4041,960.508.9"
302,2022-08-01,2022,8,Million Pounds,Poultry,"4,211.0055.3393.9"
303,2022-08-01,2022,8,Million Pounds,Red Meat,"2,506.004.72,303.8011.72,466.904.52,291.1010.3"
304,2022-09-01,2022,9,Million Pounds,Poultry,"4,000.5050.7449.2"
305,2022-09-01,2022,9,Million Pounds,Red Meat,"2,390.104.32,259.4010.82,350.604.22,247.709.6"
306,2022-10-01,2022,10,Million Pounds,Poultry,"4,068.5048.2420.6"
307,2022-10-01,2022,10,Million Pounds,Red Meat,"2,404.304.52,338.3010.52,363.104.42,326.409"
308,2022-11-01,2022,11,Million Pounds,Poultry,"3,940.9045.4467.3"
309,2022-11-01,2022,11,Million Pounds,Red Meat,"2,422.004.52,350.4011.12,387.604.42,340.7010"
310,2022-12-01,2022,12,Million Pounds,Poultry,"3,851.6046428.2"
311,2022-12-01,2022,12,Million Pounds,Red Meat,"2,225.604.52,230.10112,193.704.42,220.409.8"
